12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL272654,BL269186,BL270193,BL271061,BL263002,BL294010,BL288292,BL283223
BL272187,BL269547,BL271080,BL270579,BL262809,BL288292,BL293839,BL283316
BL277400,BL272630,BL271061,BL274402,BL241337,BL299117,BL285059,BL283512
BL262488,BL268255,BL272558,BL279673,BL251616,BL287002,BL274107,BL293381
BL262809,BL269624,BL272169,BL277689,BL249678,BL293839,BL280251,BL294010
BL263096,BL270193,BL276826,BL277717,BL235542,BL282719,BL274109,BL294352
BL262804,BL267169,BL275777,BL277177,BL262090,BL274109,BL300812,BL294854
BL262090,BL276826,BL274109,BL271889,BL262947,BL282786,BL296934,BL295512
BL264269,BL280251,BL273705,BL279559,BL263445,BL281230,BL311032,BL295514
BL263002,BL270251,BL272736,BL274109,BL270579,BL296934,BL297911,BL234871
,BL274109,BL273704,BL272736,BL273210,BL311032,BL310348,BL234906
,BL264270,BL272504,BL269624,BL271539,BL310348,BL312030,BL234908
,BL262809,BL274107,BL273240,BL277057,BL309430,BL254713,BL324896
,BL262110,BL279559,BL272504,BL272558,BL300324,BL258313,BL287002
,BL263096,BL274101,BL270111,BL272555,BL309413,BL328425,BL275384
,BL262090,BL292894,BL269822,BL272187,BL299530,BL329414,BL298137
,,,BL274107,BL271080,BL258305,BL320479,BL285059
,,,BL274101,BL271889,BL262450,BL322048,BL130836
,,,BL275384,BL271061,BL257672,BL329793,BL324687
,,,BL275777,BL277689,BL258313,BL329428,BL198330
,,,,BL275384,BL262837,BL329434,BL240745
,,,,BL275777,BL328425,BL328488,BL267166
,,,,BL269624,BL321917,BL321673,BL266977
,,,,BL272736,BL329428,BL320421,BL267169
,,,,BL272504,BL329434,BL318308,BL182832
,,,,BL274107,BL328488,BL321238,BL269782
,,,,BL279559,BL329410,BL319085,BL300812
,,,,BL274109,BL321912,BL326898,BL311626
,,,,,BL320421,BL316584,BL342593
,,,,,BL320479,BL321917,BL283894
,,,,,BL324896,BL315984,BL276648
,,,,,BL320420,BL321283,BL294485
,,,,,BL319691,BL329183,BL295461
,,,,,BL316584,BL330021,BL320479
,,,,,BL321283,BL329095,BL269082
,,,,,BL319085,,BL824236
,,,,,BL329095,,BL285485
