12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
BL118506,BL098312,BL184667,BL118041,BL101469,BL235547,BL194448,BL244553,BL235088,BL238555,BL238034,BL238574,BL239798,BL230354,BL269923,BL283140,BL282346,BL263096,BL318776,BL329434
BL136201,BL091833,BL192786,BL118169,BL115963,BL236282,BL192484,BL244143,BL236282,BL239692,BL237522,BL240639,BL238958,BL221093,BL270253,BL283150,BL283150,BL318776,BL324361,BL329514
BL092676,BL097468,BL187176,BL116455,BL118318,BL230726,BL235005,BL249974,BL235937,BL238559,BL235531,BL240753,BL235667,BL224479,BL272630,BL284253,BL293381,BL311756,BL320194,BL329515
BL092245,BL098526,BL190239,BL102070,BL109181,BL228262,BL235001,BL244469,BL236099,BL242468,BL236099,BL243923,BL241299,BL224167,BL269464,BL293840,BL293840,BL324361,BL317226,BL329554
BL178637,BL101469,BL214863,BL098526,BL117008,BL235071,BL235003,BL249926,BL238958,BL241337,BL236101,BL240745,BL238559,BL221394,BL282346,BL296173,BL296173,BL319181,BL323559,BL338278
BL178737,BL078201,BL180602,BL092676,BL115808,BL231470,BL234418,BL249939,BL237522,BL240956,BL249064,BL243518,BL240392,BL174967,BL283150,BL284931,BL285607,BL328763,BL328763,BL338406
BL123045,BL101955,BL219937,BL093424,BL116098,BL235088,BL230559,BL239692,BL236984,BL240176,BL249131,BL242468,BL228609,BL202268,BL284253,BL282856,BL285266,BL323559,BL320561,BL320561
BL166183,BL092761,BL199547,BL122781,BL118506,BL226498,BL234983,BL240807,BL248414,BL243779,BL235684,BL244046,BL224479,BL226994,BL255241,BL282871,BL282449,BL317226,BL328698,BL329900
BL180540,BL102070,BL192683,BL129379,BL117463,BL236579,BL231888,BL244467,BL244829,BL243297,BL234418,BL235684,BL243887,BL226478,BL252700,BL285607,BL282828,BL324679,BL318401,BL329930
BL136736,BL087301,BL213572,BL127514,BL117389,BL235068,BL235421,BL239586,BL249550,BL235474,BL241299,BL234979,BL243427,BL221885,BL256472,BL291417,BL282856,BL324687,BL320897,BL329992
BL125739,BL093319,BL213666,BL118200,BL124533,BL230734,BL227762,BL243117,BL249288,BL238050,BL239692,BL224479,BL243413,BL240380,BL255496,BL282449,BL281393,BL320897,BL316538,BL339513
BL140107,BL096093,BL193129,BL124059,BL127231,BL238050,BL231749,BL242376,BL246349,BL235531,BL238559,BL228717,BL252803,BL240488,BL277717,BL282828,BL295940,BL328253,BL328253,BL330224
