ticker,date_time,ret,trgt,t1,bin,side,clfW,name,cpn,date_issued,maturity,curr,amt_out,convertible,industry_sector,industry_group,industry_subgroup,callable,call_schedule,ISIN,conId,close,ytm,spread,moody,avg_rating
AO654246,2020-11-03 09:29:21,-0.08677685950413205,0.027495451032374527,2020-11-09 13:10:40,0.0,-1.0,0.7913979896086355,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,55.25,0.2398522280228138,0.18985222802281382,7.0,7.0
AO654246,2020-11-09 13:10:40,0.07079646017699126,0.051439448738765436,2020-11-18 15:32:51,1.0,-1.0,0.8174240065453426,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,60.5,0.2113017827060223,0.1613017827060223,7.0,7.0
AO654246,2020-12-10 16:52:04,0.11832061068702271,0.046932068996315794,2021-01-12 12:01:39,1.0,1.0,0.8500068048505891,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,65.5,0.18869292946934696,0.13869292946934697,5.0,5.0
AO654246,2021-01-12 12:01:39,0.06484641638225241,0.05822656042194335,2021-01-19 08:00:33,1.0,1.0,0.9394945213531412,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,73.25,0.15551697370630221,0.10551697370630221,5.0,5.0
AO654246,2021-01-19 08:00:33,0.012820512820512775,0.05377084401117893,2021-02-04 15:07:20,1.0,1.0,0.9846269978480106,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,78.0,0.13606457877397535,0.08606457877397534,5.0,5.0
AO654246,2021-01-25 14:26:55,0.019354838709677358,0.05262299595066375,2021-02-04 15:07:20,1.0,1.0,0.9897731611440689,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,77.5,0.1383989923684597,0.0883989923684597,5.0,5.0
AO654246,2021-02-04 15:07:20,0.13924050632911378,0.0479688110658222,2021-02-11 16:35:28,1.0,1.0,1.0,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,79.0,0.1328364904618263,0.0828364904618263,5.0,5.0
AO654246,2021-02-11 16:35:28,,0.0617013255273557,,,1.0,,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,90.0,0.09223855896313021,0.04223855896313021,5.0,5.0
AO654246,2021-02-16 14:36:50,,0.05598704329466063,,,1.0,,GPOR,6.0,2017-08-04 00:00:00,2024-10-15 00:00:00,USD,650000000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2019-10-15 104.5 2020-10-15 103.0 2021-10-15 101.5 2022-10-15 100.0,US402635AH93,288284919,93.6,0.08020815205574036,0.03020815205574036,5.0,5.0
AO654249,2020-08-31 15:24:24,-0.04047999999999985,0.06418830392923693,2020-09-11 13:04:02,0.0,-1.0,0.8377862702125458,GPOR,6.375,2017-08-04 00:00:00,2025-05-15 00:00:00,USD,599985000.0,False,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,True,2020-05-15 104.781 2021-05-15 103.188 2022-05-15 101.594 2023-05-15 100.0,US402635AL06,288284160,59.97,0.19668640644097335,0.14668640644097336,7.0,7.0
