id,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
EJ776389,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa1,Caa2,Caa2,Caa2,Caa2,Caa2,Caa2,Caa2,Caa2,Caa2,Caa2,Caa2,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
EI461053,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
EK706528,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,B3,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
EJ070521,Ba3,Ba3,Ba3,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba2,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
EK499510,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
EK988314,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
EH415740,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
AF228598,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,Baa3,WR,WR,WR,WR,WR,WR
EI637600,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba2,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Ba1,Baa3,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
EK608618,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,Ba3,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR,WR
